元index,行番号,対象カラム,テキスト原文,正規化テキスト,検出通貨,為替適用,和単位セグメント,英単位セグメント,期待値_JPY,プロジェクトコスト_計画時_int_raw,プロジェクトコスト_計画時_int_num,比率_int/期待,判定,疑い理由,file,log10_int,robust_z_int,分布外れ値_flag(abs_z>3.5),プロジェクトコスト_実績_int_raw,プロジェクトコスト_実績_int_num
898,898,プロジェクトコスト_計画時,370百万円,370百万円,JPY,1.0,"[{'num': 370.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 370000000.0}]",[],370000000.0,370000000,370000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0800842_4_f.pdf,8.568201724066995,-0.5444930693598075,False,,
899,899,プロジェクトコスト_計画時,590百万円,590百万円,JPY,1.0,"[{'num': 590.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 590000000.0}]",[],590000000.0,590000000,590000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0900151_4_f.pdf,8.770852011642145,-0.20671373429076328,False,,
900,900,プロジェクトコスト_計画時,409百万円,409百万円,JPY,1.0,"[{'num': 409.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 409000000.0}]",[],409000000.0,409000000,409000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0804931_4_f.pdf,8.611723308007342,-0.4719508990010784,False,,
901,901,プロジェクトコスト_計画時,"3,318百万円","3,318百万円",JPY,1.0,"[{'num': 3318.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 3318000000.0}]",[],3318000000.0,3318000000,3318000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0800849_4_f.pdf,9.520876381688343,1.0434336799133015,False,,
903,903,プロジェクトコスト_計画時,"1,360百万円","1,360百万円",JPY,1.0,"[{'num': 1360.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 1360000000.0}]",[],1360000000.0,1360000000,1360000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0701790_4_f.pdf,9.133538908370218,0.3978160706306013,False,,
904,904,プロジェクトコスト_計画時,380百万円,380百万円,JPY,1.0,"[{'num': 380.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 380000000.0}]",[],380000000.0,380000000,380000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0604764_4_f.pdf,8.57978359661681,-0.5251882992776026,False,,
905,905,プロジェクトコスト_計画時,400百万円,400百万円,JPY,1.0,"[{'num': 400.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 400000000.0}]",[],400000000.0,400000000,400000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0604764_4_f.pdf,8.602059991327963,-0.4880578027789076,False,,
906,906,プロジェクトコスト_計画時,295百万円,295百万円,JPY,1.0,"[{'num': 295.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 295000000.0}]",[],295000000.0,295000000,295000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0604759_4_f.pdf,8.469822015978163,-0.7084732579899823,False,,
907,907,プロジェクトコスト_計画時,220百万円,220百万円,JPY,1.0,"[{'num': 220.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 220000000.0}]",[],220000000.0,220000000,220000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0604719_4_f.pdf,8.342422680822207,-0.9208236238943945,False,,
909,909,プロジェクトコスト_計画時,380百万円,380百万円,JPY,1.0,"[{'num': 380.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 380000000.0}]",[],380000000.0,380000000,380000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0604760_4_f.pdf,8.57978359661681,-0.5251882992776026,False,,
911,911,プロジェクトコスト_計画時,360百万円,360百万円,JPY,1.0,"[{'num': 360.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 360000000.0}]",[],360000000.0,360000000,360000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604720_4_f.pdf,8.556302500767288,-0.5643268025467032,False,,
913,913,プロジェクトコスト_計画時,12億円,12億円,JPY,1.0,"[{'num': 12.0, 'unit': '億', 'factor': 100000000.0, 'value': 1200000000.0}]",[],1200000000.0,1200000000,1200000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604711_4_f.pdf,9.079181246047625,0.30721222666406284,False,,
915,915,プロジェクトコスト_計画時,"1,360百万円","1,360百万円",JPY,1.0,"[{'num': 1360.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 1360000000.0}]",[],1360000000.0,1360000000,1360000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0604715_4_f.pdf,9.133538908370218,0.3978160706306013,False,,
916,916,プロジェクトコスト_計画時,314百万円,314百万円,JPY,1.0,"[{'num': 314.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 314000000.0}]",[],314000000.0,314000000,314000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1302817_4_f.pdf,8.496929648073214,-0.6632900112552986,False,,
917,917,プロジェクトコスト_計画時,621百万円,621百万円,JPY,1.0,"[{'num': 621.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 621000000.0}]",[],621000000.0,621000000,621000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1202910_4_f.pdf,8.79309160017658,-0.16964458666083326,False,,
918,918,プロジェクトコスト_計画時,600百万円,600百万円,JPY,1.0,"[{'num': 600.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 600000000.0}]",[],600000000.0,600000000,600000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1202911_4_f.pdf,8.778151250383644,-0.19454729703515614,False,,
919,919,プロジェクトコスト_計画時,400百万円,400百万円,JPY,1.0,"[{'num': 400.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 400000000.0}]",[],400000000.0,400000000,400000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1202920_4_f.pdf,8.602059991327963,-0.4880578027789076,False,,
920,920,プロジェクトコスト_計画時,317百万円,317百万円,JPY,1.0,"[{'num': 317.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 317000000.0}]",[],317000000.0,317000000,317000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1000740_4_f.pdf,8.501059262217751,-0.65640673299044,False,,
921,921,プロジェクトコスト_計画時,385百万円,385百万円,JPY,1.0,"[{'num': 385.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 385000000.0}]",[],385000000.0,385000000,385000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1300256_4_f.pdf,8.585460729508501,-0.5157256027465511,False,,
922,922,プロジェクトコスト_計画時,455百万円,455百万円,JPY,1.0,"[{'num': 455.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 455000000.0}]",[],455000000.0,455000000,455000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1300256_4_f.pdf,8.658011396657113,-0.39479749353187327,False,,
923,923,プロジェクトコスト_計画時,600百万円,600百万円,JPY,1.0,"[{'num': 600.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 600000000.0}]",[],600000000.0,600000000,600000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1403202_4_f.pdf,8.778151250383644,-0.19454729703515614,False,,
924,924,プロジェクトコスト_計画時,490百万円,490百万円,JPY,1.0,"[{'num': 490.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 490000000.0}]",[],490000000.0,490000000,490000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1403202_4_f.pdf,8.690196080028514,-0.3411517717385194,False,,
926,926,プロジェクトコスト_計画時,587百万円,587百万円,JPY,1.0,"[{'num': 587.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 587000000.0}]",[],587000000.0,587000000,587000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1103300_4_f.pdf,8.768638101247614,-0.21040390019141464,False,,
927,927,プロジェクトコスト_計画時,600百万円,600百万円,JPY,1.0,"[{'num': 600.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 600000000.0}]",[],600000000.0,600000000,600000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1100632_4_f.pdf,8.778151250383644,-0.19454729703515614,False,,
928,928,プロジェクトコスト_計画時,490百万円,490百万円,JPY,1.0,"[{'num': 490.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 490000000.0}]",[],490000000.0,490000000,490000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1100632_4_f.pdf,8.690196080028514,-0.3411517717385194,False,,
929,929,プロジェクトコスト_計画時,385百万円,385百万円,JPY,1.0,"[{'num': 385.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 385000000.0}]",[],385000000.0,385000000,385000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1000704_4_f.pdf,8.585460729508501,-0.5157256027465511,False,,
930,930,プロジェクトコスト_計画時,455百万円,455百万円,JPY,1.0,"[{'num': 455.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 455000000.0}]",[],455000000.0,455000000,455000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1000704_4_f.pdf,8.658011396657113,-0.39479749353187327,False,,
931,931,プロジェクトコスト_計画時,550百万円,550百万円,JPY,1.0,"[{'num': 550.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 550000000.0}]",[],550000000.0,550000000,550000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1001003_4_f.pdf,8.740362689494244,-0.25753361263909597,False,,
932,932,プロジェクトコスト_計画時,240百万円,240百万円,JPY,1.0,"[{'num': 240.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 240000000.0}]",[],240000000.0,240000000,240000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1300291_4_f.pdf,8.380211241711606,-0.8578373082904547,False,,
933,933,プロジェクトコスト_計画時,470百万円,470百万円,JPY,1.0,"[{'num': 470.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 470000000.0}]",[],470000000.0,470000000,470000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1500235_4_f.pdf,8.672097857935718,-0.3713180522683188,False,,
934,934,プロジェクトコスト_計画時,210百万円,210百万円,JPY,1.0,"[{'num': 210.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 210000000.0}]",[],210000000.0,210000000,210000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1100563_4_f.pdf,8.32221929473392,-0.9544988108418302,False,,
935,935,プロジェクトコスト_計画時,478百万円,478百万円,JPY,1.0,"[{'num': 478.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 478000000.0}]",[],478000000.0,478000000,478000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1000639_4_f.pdf,8.679427896612118,-0.3591002774022124,False,,
936,936,プロジェクトコスト_計画時,420百万円,420百万円,JPY,1.0,"[{'num': 420.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 420000000.0}]",[],420000000.0,420000000,420000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1000656_4_f.pdf,8.6232492903979,-0.4527392871426113,False,,
937,937,プロジェクトコスト_計画時,390百万円,390百万円,JPY,1.0,"[{'num': 390.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 390000000.0}]",[],390000000.0,390000000,390000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0701997_4_f.pdf,8.5910646070265,-0.5063850089359652,False,,
938,938,プロジェクトコスト_計画時,430百万円,430百万円,JPY,1.0,"[{'num': 430.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 430000000.0}]",[],430000000.0,430000000,430000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0901033_4_f.pdf,8.633468455579587,-0.43570589004589777,False,,
939,939,プロジェクトコスト_計画時,210百万円,210百万円,JPY,1.0,"[{'num': 210.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 210000000.0}]",[],210000000.0,210000000,210000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0901055_4_f.pdf,8.32221929473392,-0.9544988108418302,False,,
940,940,プロジェクトコスト_計画時,320百万円,320百万円,JPY,1.0,"[{'num': 320.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 320000000.0}]",[],320000000.0,320000000,320000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0800926_4_f.pdf,8.505149978319906,-0.6495882903349871,False,,
941,941,プロジェクトコスト_計画時,300百万円,300百万円,JPY,1.0,"[{'num': 300.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 300000000.0}]",[],300000000.0,300000000,300000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0700927_4_f.pdf,8.477121254719663,-0.6963068207343751,False,,
942,942,プロジェクトコスト_計画時,350百万円,350百万円,JPY,1.0,"[{'num': 350.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 350000000.0}]",[],350000000.0,350000000,350000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0802834_4_f.pdf,8.544068044350276,-0.5847193053302833,False,,
943,943,プロジェクトコスト_計画時,701百万円,701百万円,JPY,1.0,"[{'num': 701.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 701000000.0}]",[],701000000.0,701000000,701000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0901031_4_f.pdf,8.845718017966659,-0.08192639676383484,False,,
944,944,プロジェクトコスト_計画時,92百万円,92百万円,JPY,1.0,"[{'num': 92.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 92000000.0}]",[],92000000.0,92000000,92000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0700919_4_f.pdf,7.963787827345556,-1.5519356275913065,False,,
945,945,プロジェクトコスト_計画時,315百万円,315百万円,JPY,1.0,"[{'num': 315.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 315000000.0}]",[],315000000.0,315000000,315000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0605117_4_f.pdf,8.4983105537896,-0.6609883050980788,False,,
946,946,プロジェクトコスト_計画時,250百万円,250百万円,JPY,1.0,"[{'num': 250.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 250000000.0}]",[],250000000.0,250000000,250000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0605120_4_f.pdf,8.397940008672037,-0.828286838922047,False,,
949,949,プロジェクトコスト_計画時,410百万円,410百万円,JPY,1.0,"[{'num': 410.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 410000000.0}]",[],410000000.0,410000000,410000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1200074_4_f.pdf,8.612783856719735,-0.4701831668001172,False,,
950,950,プロジェクトコスト_計画時,400百万円,400百万円,JPY,1.0,"[{'num': 400.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 400000000.0}]",[],400000000.0,400000000,400000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0901169_4_f.pdf,8.602059991327963,-0.4880578027789076,False,,
951,951,プロジェクトコスト_計画時,"11億5,600万円","11億5,600万円",JPY,1.0,"[{'num': 11.0, 'unit': '億', 'factor': 100000000.0, 'value': 1100000000.0}, {'num': 5600.0, 'unit': '万円', 'factor': 10000.0, 'value': 56000000.0}]",[],1156000000.0,1156000000,1156000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0901171_4_f.pdf,9.06295783408451,0.2801708966416724,False,,
952,952,プロジェクトコスト_計画時,176百万円,176百万円,JPY,1.0,"[{'num': 176.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 176000000.0}]",[],176000000.0,176000000,176000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0605501_4_f.pdf,8.24551266781415,-1.082354111450474,False,,
954,954,プロジェクトコスト_計画時,250百万円,250百万円,JPY,1.0,"[{'num': 250.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 250000000.0}]",[],250000000.0,250000000,250000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1100585_4_f.pdf,8.397940008672037,-0.828286838922047,False,,
955,955,プロジェクトコスト_計画時,240百万円,240百万円,JPY,1.0,"[{'num': 240.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 240000000.0}]",[],240000000.0,240000000,240000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1000711_4_f.pdf,8.380211241711606,-0.8578373082904547,False,,
956,956,プロジェクトコスト_計画時,337百万円,337百万円,JPY,1.0,"[{'num': 337.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 337000000.0}]",[],337000000.0,337000000,337000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1400536_4_f.pdf,8.52762990087134,-0.612118551788424,False,,
957,957,プロジェクトコスト_計画時,340百万円,340百万円,JPY,1.0,"[{'num': 340.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 340000000.0}]",[],340000000.0,340000000,340000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1102132_4_f.pdf,8.531478917042255,-0.6057029767678366,False,,
958,958,プロジェクトコスト_計画時,"3,045百万円","3,045百万円",JPY,1.0,"[{'num': 3045.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 3045000000.0}]",[],3045000000.0,3045000000,3045000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1400717_4_f.pdf,9.483587296968894,0.9812798957140179,False,,
959,959,プロジェクトコスト_計画時,420百万円,420百万円,JPY,1.0,"[{'num': 420.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 420000000.0}]",[],420000000.0,420000000,420000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1400717_4_f.pdf,8.6232492903979,-0.4527392871426113,False,,
960,960,プロジェクトコスト_計画時,"1,200百万円","1,200百万円",JPY,1.0,"[{'num': 1200.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 1200000000.0}]",[],1200000000.0,1200000000,1200000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0905604_4_f.pdf,9.079181246047625,0.30721222666406284,False,,
961,961,プロジェクトコスト_計画時,280百万円,280百万円,JPY,1.0,"[{'num': 280.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 280000000.0}]",[],280000000.0,280000000,280000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1003089_4_f.pdf,8.44715803134222,-0.7462497928863627,False,,
962,962,プロジェクトコスト_計画時,470百万円,470百万円,JPY,1.0,"[{'num': 470.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 470000000.0}]",[],470000000.0,470000000,470000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1003089_4_f.pdf,8.672097857935718,-0.3713180522683188,False,,
963,963,プロジェクトコスト_計画時,530百万円,530百万円,JPY,1.0,"[{'num': 530.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 530000000.0}]",[],530000000.0,530000000,530000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0901292_4_f.pdf,8.724275869600788,-0.28434726976243924,False,,
964,964,プロジェクトコスト_計画時,260百万円,260百万円,JPY,1.0,"[{'num': 260.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 260000000.0}]",[],260000000.0,260000000,260000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1003087_4_f.pdf,8.414973347970818,-0.7998955146797166,False,,
965,965,プロジェクトコスト_計画時,550百万円,550百万円,JPY,1.0,"[{'num': 550.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 550000000.0}]",[],550000000.0,550000000,550000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1003087_4_f.pdf,8.740362689494244,-0.25753361263909597,False,,
966,966,プロジェクトコスト_計画時,520百万円,520百万円,JPY,1.0,"[{'num': 520.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 520000000.0}]",[],520000000.0,520000000,520000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0904132_4_f.pdf,8.7160033436348,-0.29813599098049764,False,,
967,967,プロジェクトコスト_計画時,374百万円,374百万円,JPY,1.0,"[{'num': 374.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 374000000.0}]",[],374000000.0,374000000,374000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0804617_4_f.pdf,8.57287160220048,-0.5367092741841045,False,,
968,968,プロジェクトコスト_計画時,280百万円,280百万円,JPY,1.0,"[{'num': 280.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 280000000.0}]",[],280000000.0,280000000,280000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0702444_4_f.pdf,8.44715803134222,-0.7462497928863627,False,,
969,969,プロジェクトコスト_計画時,470百万円,470百万円,JPY,1.0,"[{'num': 470.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 470000000.0}]",[],470000000.0,470000000,470000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0702444_4_f.pdf,8.672097857935718,-0.3713180522683188,False,,
970,970,プロジェクトコスト_計画時,260百万円,260百万円,JPY,1.0,"[{'num': 260.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 260000000.0}]",[],260000000.0,260000000,260000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0702452_4_f.pdf,8.414973347970818,-0.7998955146797166,False,,
971,971,プロジェクトコスト_計画時,550百万円,550百万円,JPY,1.0,"[{'num': 550.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 550000000.0}]",[],550000000.0,550000000,550000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0702452_4_f.pdf,8.740362689494244,-0.25753361263909597,False,,
972,972,プロジェクトコスト_計画時,480百万円,480百万円,JPY,1.0,"[{'num': 480.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 480000000.0}]",[],480000000.0,480000000,480000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1400309_4_f.pdf,8.681241237375588,-0.3560777845912357,False,,
973,973,プロジェクトコスト_計画時,70百万円,70百万円,JPY,1.0,"[{'num': 70.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 70000000.0}]",[],70000000.0,70000000,70000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_201400306_4_f.pdf,7.845098040014257,-1.7497688402848006,False,,
974,974,プロジェクトコスト_計画時,420百万円,420百万円,JPY,1.0,"[{'num': 420.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 420000000.0}]",[],420000000.0,420000000,420000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_201200380_4_f.pdf,8.6232492903979,-0.4527392871426113,False,,
975,975,プロジェクトコスト_計画時,420百万円,420百万円,JPY,1.0,"[{'num': 420.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 420000000.0}]",[],420000000.0,420000000,420000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1200392_4_f.pdf,8.6232492903979,-0.4527392871426113,False,,
976,976,プロジェクトコスト_計画時,330百万円,330百万円,JPY,1.0,"[{'num': 330.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 330000000.0}]",[],330000000.0,330000000,330000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1200388_4_f.pdf,8.518513939877888,-0.6273131181506431,False,,
977,977,プロジェクトコスト_計画時,447百万円,447百万円,JPY,1.0,"[{'num': 447.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 447000000.0}]",[],447000000.0,447000000,447000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1102522_4_f.pdf,8.650307523131936,-0.40763837971036077,False,,
978,978,プロジェクトコスト_計画時,320百万円,320百万円,JPY,1.0,"[{'num': 320.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 320000000.0}]",[],320000000.0,320000000,320000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1100628_4_f.pdf,8.505149978319906,-0.6495882903349871,False,,
979,979,プロジェクトコスト_計画時,400百万円,400百万円,JPY,1.0,"[{'num': 400.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 400000000.0}]",[],400000000.0,400000000,400000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1100631_4_f.pdf,8.602059991327963,-0.4880578027789076,False,,
980,980,プロジェクトコスト_計画時,500百万円,500百万円,JPY,1.0,"[{'num': 500.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 500000000.0}]",[],500000000.0,500000000,500000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1000735_4_f.pdf,8.698970004336019,-0.3265273152228281,False,,
981,981,プロジェクトコスト_計画時,270百万円,270百万円,JPY,1.0,"[{'num': 270.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 270000000.0}]",[],270000000.0,270000000,270000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1100635_4_f.pdf,8.431363764158988,-0.7725758205021707,False,,
982,982,プロジェクトコスト_計画時,330百万円,330百万円,JPY,1.0,"[{'num': 330.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 330000000.0}]",[],330000000.0,330000000,330000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1000734_4_f.pdf,8.518513939877888,-0.6273131181506431,False,,
983,983,プロジェクトコスト_計画時,350百万円,350百万円,JPY,1.0,"[{'num': 350.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 350000000.0}]",[],350000000.0,350000000,350000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0801042_4_f.pdf,8.544068044350276,-0.5847193053302833,False,,
984,984,プロジェクトコスト_計画時,230百万円,230百万円,JPY,1.0,"[{'num': 230.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 230000000.0}]",[],230000000.0,230000000,230000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1000720_4_f.pdf,8.361727836017593,-0.8886456163360081,False,,
985,985,プロジェクトコスト_計画時,290百万円,290百万円,JPY,1.0,"[{'num': 290.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 290000000.0}]",[],290000000.0,290000000,290000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1000720_4_f.pdf,8.462397997898956,-0.7208476785760148,False,,
986,986,プロジェクトコスト_計画時,490百万円,490百万円,JPY,1.0,"[{'num': 490.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 490000000.0}]",[],490000000.0,490000000,490000000.0,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0701698_4_f.pdf,8.690196080028514,-0.3411517717385194,False,,
