元index,行番号,対象カラム,テキスト原文,正規化テキスト,検出通貨,為替適用,和単位セグメント,英単位セグメント,期待値_JPY,プロジェクトコスト_計画時_int_raw,プロジェクトコスト_計画時_int_num,比率_int/期待,判定,疑い理由,file,log10_int,robust_z_int,分布外れ値_flag(abs_z>3.5),プロジェクトコスト_実績_int_raw,プロジェクトコスト_実績_int_num
1629,1629,プロジェクトコスト_実績,"27,757百万円","27,757百万円",JPY,1.0,"[{'num': 27757.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 27757000000.0}]",[],27757000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXII-P113_4_f.pdf,10.44337252540488,2.824845964438177,False,27757000000,27757000000.0
1630,1630,プロジェクトコスト_実績,"9,952百万円","9,952百万円",JPY,1.0,"[{'num': 9952.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 9952000000.0}]",[],9952000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXII-P115_4_f.pdf,9.997910367346744,2.0245565883898027,False,9952000000,9952000000.0
1631,1631,プロジェクトコスト_実績,"3,375百万円","3,375百万円",JPY,1.0,"[{'num': 3375.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 3375000000.0}]",[],3375000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXII-P115_4_f.pdf,9.528273777167044,1.1808369436891462,False,3375000000,3375000000.0
1632,1632,プロジェクトコスト_実績,"7,482百万円","7,482百万円",JPY,1.0,"[{'num': 7482.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 7482000000.0}]",[],7482000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P145_4_f.pdf,9.874017703862187,1.801978799090609,False,7482000000,7482000000.0
1633,1633,プロジェクトコスト_実績,"18,555百万円","18,555百万円",JPY,1.0,"[{'num': 18555.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 18555000000.0}]",[],18555000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P129_4_f.pdf,10.268460958684802,2.51061081323194,False,18555000000,18555000000.0
1634,1634,プロジェクトコスト_実績,6865.4百万円,6865.4百万円,JPY,1.0,"[{'num': 6865.4, 'unit': '百万円', 'factor': 1000000.0, 'value': 6865400000.0}]",[],6865400000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P146_4_f.pdf,9.836665845685227,1.7348747932082837,False,6865400000,6865400000.0
1635,1635,プロジェクトコスト_実績,"6,704百万円","6,704百万円",JPY,1.0,"[{'num': 6704.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 6704000000.0}]",[],6704000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXII-P135_4_f.pdf,9.82633400562222,1.7163132573114992,False,6704000000,6704000000.0
1636,1636,プロジェクトコスト_実績,"14,938百万円","14,938百万円",JPY,1.0,"[{'num': 14938.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 14938000000.0}]",[],14938000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXI-P120_4_f.pdf,10.174292455102709,2.3414335854655195,False,14938000000,14938000000.0
1637,1637,プロジェクトコスト_実績,"69,076百万円","69,076百万円",JPY,1.0,"[{'num': 69076.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 69076000000.0}]",[],69076000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXI-P119_4_f.pdf,10.839327180831955,3.5361932661181266,True,69076000000,69076000000.0
1638,1638,プロジェクトコスト_実績,"21,816百万円","21,816百万円",JPY,1.0,"[{'num': 21816.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 21816000000.0}]",[],21816000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_CXXI-P125_4_f.pdf,10.338775124933573,2.6369328345679173,False,21816000000,21816000000.0
