No,file,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,効率性_コスト,効率性_期間,事業形態,分野,案件名
108,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1360670_4_f.pdf,1,カンボジア,2019,(株)片平エンジニアリング・インターナショナル,佐々木篤,1202百万円,1091百万円,2014年4月,2016年3月,2014年4月,2016年10月,24,31,91%,129%,無償,保健・医療,国立母子保健センター拡張計画
109,https://www2.jica.go.jp/ja/evaluation/pdf/2019_IP-531_4_f.pdf,1,インドネシア,2019,OPMAC 株式会社,宮崎慶司,"26,306百万円","17,911百万円",2005年3月,2011年12月,2005年3月,2018年3月,82,157,81%,191%,有償,道路,タンジュンプリオク港アクセス道路建設事業（2）
110,https://www2.jica.go.jp/ja/evaluation/pdf/2019_IP-531_4_f.pdf,2,インドネシア,2019,OPMAC 株式会社,宮崎慶司,"26,620百万円","23,125百万円",2006年3月,2011年12月,2006年3月,2017年12月,82,157,81%,191%,有償,道路,タンジュンプリオク港アクセス道路建設事業（2）
111,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,1,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2010年5月,2011年9月,2010年5月,2011年9月,17,17,,,有償,環境問題,気候変動対策支援プログラムローン（III）
112,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,2,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2011年10月,2013年2月,2011年10月,2013年2月,17,17,,,有償,環境問題,気候変動対策支援プログラムローン（III）
113,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,3,ベトナム,2019,OPMAC 株式会社,飯田利久,"15,000百万円","15,000百万円",2013年3月,2014年2月,2013年3月,2014年2月,12,12,,,有償,環境問題,気候変動対策支援プログラムローン（III）
114,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,4,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2014年3月,2015年2月,2014年3月,2015年2月,12,12,,,有償,環境問題,気候変動対策支援プログラムローン（III）
115,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,5,ベトナム,2019,OPMAC 株式会社,飯田利久,"15,000百万円","15,000百万円",2015年3月,2015年12月,2015年3月,2015年12月,10,10,,,有償,環境問題,気候変動対策支援プログラムローン（III）
116,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,6,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2016年1月,2016年12月,2016年1月,2016年12月,12,12,,,有償,環境問題,気候変動対策支援プログラムローン（III）
117,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C16_4_f.pdf,7,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2017年1月,2017年3月,2017年1月,2017年3月,3,3,,,有償,環境問題,気候変動対策支援プログラムローン（III）
