,alpha3,Year,gdp_growth,join_flg
394,LAC,1961,3.242184005,True
395,LAO,1961,,True
396,LBN,1961,,True
397,LBR,1961,-0.033469523,True
398,LBY,1961,5.458926639,True
399,LCA,1961,,True
400,LCN,1961,3.247122518,True
401,LDC,1961,,True
402,LIC,1961,,True
403,LIE,1961,,True
404,LKA,1961,,True
405,LMC,1961,0.733873984,True
406,LMY,1961,-0.378485873,True
407,LSO,1961,-1.131986292,True
408,LTE,1961,-3.802066043,True
409,LTU,1961,,True
410,LUX,1961,2.887846741,True
411,LVA,1961,,True
412,MAC,1961,,True
413,MAF,1961,,True
414,MAR,1961,,True
415,MCO,1961,,True
416,MDA,1961,,True
417,MDG,1961,-0.579906019,True
418,MDV,1961,,True
419,MEA,1961,3.381899739,True
420,MEX,1961,1.770191769,True
421,MHL,1961,,True
422,MIC,1961,-0.178881945,True
423,MKD,1961,,True
424,MLI,1961,,True
425,MLT,1961,,True
426,MMR,1961,-1.701259406,True
427,MNA,1961,0.752687767,True
428,MNE,1961,,True
429,MNG,1961,,True
430,MNP,1961,,True
431,MOZ,1961,,True
432,MRT,1961,,True
433,MUS,1961,22.11390283,True
434,MWI,1961,5.107606263,True
435,MYS,1961,4.853550582,True
436,NAC,1961,0.651305853,True
437,NAM,1961,,True
438,NCL,1961,,True
439,NER,1961,1.55872572,True
440,NGA,1961,-1.846335329,True
441,NIC,1961,4.332080138,True
442,NLD,1961,-1.014997573,True
443,NOR,1961,5.432493155,True
444,NPL,1961,-0.015037989,True
445,NRU,1961,,True
446,NZL,1961,1.270429331,True
447,OED,1961,2.972605455,True
448,OMN,1961,-0.615640334,True
449,OSS,1961,,True
450,PAK,1961,3.249714912,True
451,PAN,1961,7.687844679,True
452,PER,1961,4.262545763,True
453,PHL,1961,2.388983244,True
454,PLW,1961,,True
455,PNG,1961,3.533650557,True
456,POL,1961,,True
457,PRE,1961,-2.570353896,True
458,PRI,1961,5.180691477,True
459,PRK,1961,,True
460,PRT,1961,4.688668547,True
461,PRY,1961,4.466541024,True
462,PSE,1961,,True
463,PSS,1961,,True
464,PST,1961,3.162794569,True
465,PYF,1961,,True
466,QAT,1961,,True
467,ROU,1961,,True
468,RUS,1961,,True
469,RWA,1961,-6.900036078,True
470,SAS,1961,1.703416845,True
471,SAU,1961,7.849483363,True
472,SDN,1961,-2.696324812,True
473,SEN,1961,0.132125345,True
474,SGP,1961,4.580373932,True
475,SLB,1961,,True
476,SLE,1961,0.224133639,True
477,SLV,1961,,True
478,SMR,1961,,True
479,SOM,1961,-5.743403628,True
480,SRB,1961,,True
481,SSA,1961,-1.294360539,True
482,SSD,1961,,True
483,SSF,1961,-1.297798553,True
484,SST,1961,,True
485,STP,1961,,True
486,SUR,1961,1.391198377,True
487,SVK,1961,,True
488,SVN,1961,,True
489,SWE,1961,5.184618687,True
490,SWZ,1961,,True
491,SXM,1961,,True
492,SYC,1961,-7.519198954,True
493,SYR,1961,7.565565645,True
494,TCA,1961,,True
495,TCD,1961,-0.625977319,True
496,TEA,1961,-13.26017664,True
497,TEC,1961,,True
498,TGO,1961,10.21890695,True
499,THA,1961,2.319114694,True
500,TJK,1961,,True
501,TKM,1961,,True
502,TLA,1961,3.175060225,True
503,TLS,1961,,True
504,TMN,1961,0.752687767,True
505,TON,1961,,True
506,TSA,1961,1.703416845,True
507,TSS,1961,-1.297798553,True
508,TTO,1961,11.63238668,True
509,TUN,1961,,True
510,TUR,1961,-1.585984916,True
511,TUV,1961,,True
512,TZA,1961,-1.705543798,True
513,UGA,1961,,True
514,UKR,1961,,True
515,UMC,1961,-0.08503882,True
516,URY,1961,1.209416674,True
517,USA,1961,0.618121193,True
518,UZB,1961,,True
519,VCT,1961,2.723283972,True
520,VEN,1961,-0.417607563,True
521,VGB,1961,,True
522,VIR,1961,,True
523,VNM,1961,,True
524,VUT,1961,,True
525,WLD,1961,2.56322893,True
526,WSM,1961,,True
527,XKX,1961,,True
528,YEM,1961,,True
529,ZAF,1961,0.971241814,True
530,ZMB,1961,-1.764633797,True
531,ZWE,1961,3.042819299,True
532,ABW,1962,,True
533,AFE,1962,5.009834796,True
534,AFG,1962,,True
535,AFW,1962,1.525509712,True
536,AGO,1962,,True
537,ALB,1962,,True
538,AND,1962,,True
539,ARB,1962,,True
540,ARE,1962,,True
541,ARG,1962,-2.481211956,True
542,ARM,1962,,True
543,ASM,1962,,True
544,ATG,1962,,True
545,AUS,1962,-1.148080552,True
546,AUT,1962,2.021469667,True
547,AZE,1962,,True
548,BDI,1962,6.331874888,True
549,BEL,1962,4.794034518,True
550,BEN,1962,-5.111051704,True
551,BFA,1962,4.587498788,True
552,BGD,1962,2.434773841,True
553,BGR,1962,,True
554,BHR,1962,,True
555,BHS,1962,5.039960225,True
556,BIH,1962,,True
557,BLR,1962,,True
558,BLZ,1962,2.26056118,True
559,BMU,1962,1.8345761,True
560,BOL,1962,3.423215511,True
561,BRA,1962,3.465910762,True
562,BRB,1962,8.098228702,True
563,BRN,1962,,True
564,BTN,1962,,True
565,BWA,1962,4.248932682,True
566,CAF,1962,-5.540014944,True
